Date,CSU,BB,CM,XIT,XFN,XRE,XMD,XCV,XMV,XIC,XIN,XBB,XGB,XLB
2013-04-22,0.011236546,0.012605209,-0.000513187,0.005706042,-0.004568838,0.005747251,0.007203154,0.002528543,0.005629212,0.002621289,0.003056401,-0.000632523,-0.000910332,-0.001270232
2013-04-23,0.00764394,0.025422187,-0.00115488,0.018323345,0.00412514,0.010354911,0.002389368,0.000505421,0.001401555,0.000523265,0.018145773,-0.000824131,0.000136361,-0.001531982
2013-04-24,0.009637739,0.034014616,0.01225114,0.01936444,0.006630804,0.002841737,0.015629279,0,0.010223675,0.014545935,0.008455598,0.000951502,0.000456014,0.001276774
2013-04-25,-0.009785761,-0.006578971,0.000887537,0.025694302,0,-0.000567387,0.011679298,0.016520564,0.003691102,0.005143806,0.002473573,-0.001586411,-0.001827217,-0.004262787
2013-04-26,-0.020693161,0.006578971,-0.006739387,-0.001336011,-0.001240011,-0.001136575,-0.005589012,-0.005476167,0,-0.008243159,-0.00396049,0.001586411,0.000913847,0.003836983
2013-04-29,0.013197243,0.034163812,0.012173551,0.007989541,0.008647904,0.005668986,0.0009338,0.008946192,-0.000460236,0.007216429,0.009380382,0.000950082,0.002282907,0.002549627
2013-04-30,0.023994739,0.044617065,0.015384216,0.061716237,0.006945123,0.016816648,0.014822384,0.00690338,0.006430643,0.011236188,-0.002952551,0.000949351,-0.000456523,0.000849383
2013-05-01,-0.011704575,-0.0376704,-0.006100284,-0.013810692,-0.003262316,-0.010055906,-0.008774598,-0.004432595,0.00365644,-0.009696177,-0.006427831,0.00126513,0.002279401,0.002964393
2013-05-02,-0.006644489,-0.003783107,-0.000749354,0.002525263,0.007731471,0.001122634,0.0046279,0.011776505,-0.004572348,0.003582991,0.009380382,0.000947167,0.000909214,0.002111818
2013-05-03,-0.006539821,-0.003797473,-0.002377228,-0.006325041,0.002024177,0.001120554,0.001844972,0.005351629,0,0.005097303,0.011238937,-0.006015769,-0.006844007,-0.012738891
2013-05-06,0.004760311,-0.001904158,0,-0.001269961,0.003231093,-0.000560257,0,-0.00242925,0.010031711,0.001015884,0.002426248,-0.00190711,-0.001374824,-0.003424637
2013-05-07,-0.003716723,-0.052832631,0.005870211,-0.007653244,0.004827375,0,-0.005545681,0.00242925,0.002265909,0.001522681,0.002904278,-0.000635908,0,-0.000429962
2013-05-08,-7.48116E-05,-0.002011399,0.004225016,-0.001281119,0.003604737,-0.001682931,0.005545681,0.008214537,0.004967534,0.008583801,0.005783186,0.000317659,0.000915701,0.003426544
2013-05-09,0.005793355,0.038833441,-0.012603713,0.014004101,-0.007626421,-0.010158424,0.002301726,-0.001926802,-0.001352574,-0.003021527,0.000960715,0.001907716,0.000916838,0.001282058
2013-05-10,0.011194089,0.014102798,-0.001759962,0.010063016,0.000404077,-0.00113473,-0.00092017,0.002888544,-0.000450859,0.004026316,0.007175688,-0.003499875,-0.005507603,-0.007285546
2013-05-13,0.000804994,0.020788213,-0.002140839,0.007481247,-0.002016222,0.007918313,-0.002304078,-0.002888544,-0.002258801,-0.004026316,0.001428656,-0.001595781,0,-0.003446457
2013-05-14,0.009830122,-0.031025026,-0.009881856,-0.006230574,0.002016222,0.00112661,0.001383233,0.001926802,0.003160721,0.003021527,0.006641463,-0.002877848,-0.002303581,-0.003458249
2013-05-15,0.010379986,-0.018170519,-0.005234262,-0.001250673,-0.006870594,-0.002818082,-0.009254922,-0.012590818,-0.005878559,-0.008077052,0.005187422,0.003197286,0.002303581,0.005182962
2013-05-16,0.044186269,-0.016507473,0.004214859,-0.007537752,0.002026023,-0.001129239,0.006949238,0.006315023,0.001812538,0.002530992,-0.006607048,0.001276343,0.002298227,0.003870421
2013-05-17,-0.022690515,0.001995345,0.004577873,0.011285429,0.010466689,-0.002828598,0.00368626,0.007237538,0.006767488,0.009058987,0.012235493,-0.000318944,-0.002758832,-0.001718108
2013-05-21,0.002592723,0.007282389,0.014859763,0.009925453,0.013919464,0.004522254,0.011433981,0.01668702,0.01339911,0.009474043,0.00466618,0,0.001380397,0.000429694
2013-05-22,-0.002452562,-0.009943735,0.000124927,-0.014925482,0.000394486,-0.00395606,-0.002276464,0.007067303,0,0.000991964,-0.006538852,-0.002554569,-0.003685162,-0.006898937
2013-05-23,0.004969844,-0.007355433,-0.001250315,-0.00754712,-0.005542275,-0.007959198,-0.006401211,0,-0.008913031,-0.006465998,-0.020355971,-0.000639566,0,0.000431724
2013-05-24,0.000279449,0.002011399,0.002624292,-0.001263543,0.001153473,0.002916537,-0.001377117,-0.015614383,0,0.000498726,-0.010576933,0.001538266,0.001387135,0.002166543
2013-05-27,0.005152485,-0.001340483,0.002617381,0.013810692,-0.000795283,-0.000570726,0.005040205,-0.000954008,-0.000447657,0.002490714,0.004821987,-0.002565498,-0.001849378,-0.003903036
2013-05-28,-0.003130633,-0.000670916,0.002238102,-0.002497003,0.009110667,-0.003435025,-0.001372136,0.006186072,0.003576521,0.004962962,0.006711257,-0.003215078,-0.004173163,-0.008291147
2013-05-29,0.012943885,-0.012833678,-0.000993811,-0.006269523,-0.001578012,-0.01968758,-0.001832123,-0.000474434,-0.005817876,-0.001486404,-0.01637796,-0.000644267,-0.000929787,0.000437098
2013-05-30,0.021028044,0.010818226,-0.015158281,0.003766497,-0.002769139,-0.008810307,0.001832123,-0.001900721,-0.001347252,0.000495513,-0.001944783,0.000322403,0.000929787,0.000438436
2013-05-31,0.023295308,-0.028651346,-0.011042998,-0.003766497,-0.010750126,-0.004138942,-0.005047258,-0.004766236,-0.007217303,-0.008959313,-0.016683484,0.000321863,-0.000465604,0.000875023
2013-06-03,0,-0.032351626,-0.003708237,-0.006309078,0.001199844,-0.005941669,0.005047258,-0.008155359,-0.001358848,-0.001501009,-0.003965993,0.000966101,0.002322285,0.001311609
2013-06-04,-0.006270073,-0.001430615,0,0.010075575,-0.004407952,-0.010784436,-0.002290951,0.001924746,0,-0.001002377,0.00495528,-0.000322511,-0.002786468,-0.001311609
2013-06-05,-0.019723067,0.009262624,-0.008490768,-0.008810663,-0.01171448,-0.010294152,-0.009679655,-0.013065617,-0.012314682,-0.012610297,-0.025533249,0.001608514,0.003250931,0.000874194
2013-06-06,-0.004940983,-0.003552402,-0.003623962,-0.005069739,-0.00857046,0.002431583,0.001388417,-0.000486944,0,-0.001523816,-0.008658134,-0.001286003,0,-0.000437224
2013-06-07,0.014350174,0.003552402,-0.00064892,0.012626364,0.00449865,0.005448976,-0.002315757,-0.00733693,-0.005522349,-0.002545438,0.017241816,-0.005485409,-0.0065121,-0.01054902
2013-06-10,-0.003350384,0.009880109,0.006466945,-0.003771118,0.001223811,-0.010317969,-0.001856045,0.000981296,0,0.001018678,0.00351338,-0.00421417,-0.004676658,-0.00709495
2013-06-11,-0.034132979,-0.022010118,-0.01049749,-0.01650849,-0.0102404,-0.020962435,-0.015445804,-0.00147227,-0.006481493,-0.013842857,-0.023315848,0.000974264,0.000936276,0
2013-06-12,0.009950582,-0.004316553,-0.001694899,-0.010295908,-0.008267579,-0.018233769,-0.010431673,-0.014844556,-0.009801846,-0.00777417,-0.00256763,-0.000649375,-0.000468457,-0.002227482
2013-06-13,0.005806572,0.058119259,0.012063093,0.028063056,0.016058743,0.019479034,0.010903072,0.012385509,0.001874782,0.013437084,0.011756079,0.002918739,0.000937488,0.005337335
2013-06-14,-0.01582069,-0.002042902,-0.004911472,-0.008843943,-0.008203209,0.000622102,0.001413863,-0.004935687,0.010246705,-0.006696077,-0.012784791,0.002264313,0.005601625,0.00663314
2013-06-17,0.01533839,-0.004783063,0.001683052,0.005063321,0.009020919,0.006199622,0.004228054,0.00591988,0.00231451,0.006696077,0.013800508,-0.00096968,-0.002330274,-0.002206312
2013-06-18,-0.00823002,0.035657999,0.002841354,0.016280719,0.007320291,-0.002475118,0.002808862,0,0.006910379,0.008179944,0.010603498,-0.001294634,-0.000934181,-0.000441731
2013-06-19,0.008780411,-0.037028801,-0.004783483,-0.006230574,-0.006155174,-0.012453569,-0.002356785,0.00079361,-0.001109844,-0.008559588,-0.008693571,-0.004197455,-0.004645539,-0.009352298
2013-06-20,-0.012258725,-0.008956312,-0.022278394,-0.015113466,-0.016072751,-0.028099283,-0.031155188,-0.022056072,-0.032450584,-0.024110263,-0.031301304,-0.005229923,-0.006134101,-0.009439869
2013-06-21,-0.006992779,-0.006944472,-0.004249588,-0.001269961,0.002490099,-0.008455466,0.004372447,0.00253103,0.004768598,0.003178146,0.007391667,-0.007897377,-0.005694886,-0.016393981
2013-06-24,-0.00337441,0.027493141,0.003454066,-0.015365278,-0.005819303,-0.013148981,-0.023045909,-0.018368065,0,-0.014381448,-0.019119205,-0.003972603,-0.006206508,-0.013404585
2013-06-25,0.025924734,0.037916082,0.009109735,0.032998043,0.012427758,0.021604446,0.016236502,0.015330172,-0.009079957,0.013852103,0.015429827,-0.001327058,0.000957157,0
2013-06-26,-0.012079232,0.02003298,-0.001331677,0.011173118,0.008200684,0.000647541,-0.00048836,0.004048291,0.007652037,-0.002648801,0.009981664,0.002321433,0.001434455,0.006955723
2013-06-27,0.003466592,-0.037814153,0.00372437,0.006154001,0.004074519,0.018595914,0.007297767,0.007045866,0.005700694,0.004762944,0.007810721,0.00363836,0.004290814,0.005529938
2013-06-28,0.003453598,-0.30623631,-0.008935847,-0.087122787,0.004868403,0.00380559,0.012045115,0.008489712,0.011304692,0.008412576,0.001036684,-0.000660131,-0.001904721,-0.001379503
2013-07-02,0.010906114,-0.080795097,-0.000268122,-0.006716089,0.000404368,0.002528052,0.007633641,0,0,0.005221676,0.010822236,0.002639113,0.00522988,0.012348477
2013-07-03,0.007273029,-0.004904375,-0.006992929,-0.008119155,-0.004053731,-0.011429433,-0.005241788,-0.009492804,-0.002344873,-0.004698294,-0.005138611,0.000987825,0,-0.001364576
2013-07-04,0.003987557,-0.001968505,0.002694988,0.009465962,0.003649363,0.003188477,0.002862574,0.005507044,0.002344873,0.005739616,0.020398341,0,0,0.000910078
2013-07-05,-0.017899517,-0.006920443,-0.001481478,-0.002695307,0.002020829,-0.000636718,0,-0.00099948,-0.005165614,-0.003126736,0.001008962,-0.006605167,-0.009050428,-0.017895148
2013-07-08,0.002606016,0.001982161,0.002154375,-0.006770655,0.006040012,-0.011531213,0.005227138,0.005979134,0.007037645,0.006762084,0.002015394,0.004958206,0.004773393,0.007380672
2013-07-09,0.006825943,0.009852296,0.005766928,-0.001359625,0.005603918,0.001287578,0.000947567,0.003966548,0,0.004654831,0.008519176,-0.00033011,0,0.001377736
2013-07-10,-0.012044903,-0.040005335,-0.005094845,-0.004090001,-0.000798184,-0.00064379,0.001419141,-0.000989957,0.002800986,0.001546877,-0.002498411,-0.001649867,-0.000952845,-0.005060962
2013-07-11,-0.001584894,-0.01128796,0.015868283,0.006807404,0.009543009,0.022916992,0.016413162,0.01523728,0.012508895,0.015337552,0.011440374,0.003626938,0.004280856,0.006436537
2013-07-12,0.009608146,-0.010373537,0.004356029,-0.006807404,-0.000792396,-0.003151892,-0.000931043,0,0.001840053,-0.002031534,-0.000989811,0.000328969,-0.000474664,0.002289291
2013-07-15,0.003953803,0.018595577,0.001448098,0,0.005135912,-0.001895976,0.003253885,0.006321177,0.013692452,0.005070746,0.005923205,0.000986792,0.000948671,-0.000457731
2013-07-16,-0.017084891,-0.029077853,-0.000921105,-0.020704627,-0.000788298,0.000632085,-0.003253885,-0.003398838,-0.002723835,-0.001011524,-0.008898273,0.00032898,0.001422709,0.001371902
2013-07-17,0.001037241,0.015682496,0.015155765,0.004175387,0.010980568,0.001894779,0.000465572,0.00871699,0.001816714,0.004042135,0.005940929,0.002953089,0.002365463,0.002737312
2013-07-18,0.017339194,-0.02308602,0.008778575,0.001387931,0.012788265,-0.005059925,0.001395244,0.008163504,0.00271884,0.00503027,0.008355995,-0.001967594,-0.001892477,-0.001368083
